location,event_name,start_datetime,end_datetime
Astoria,Eskimo Project,22/03/2019 22:00,23/03/2019 02:00
Astoria,Eskimo Project,29/03/2019 22:00,30/03/2019 02:00
Astoria,Eskimo Project,05/04/2019 22:00,06/04/2019 02:00
Astoria,Eskimo Project,12/04/2019 22:00,13/04/2019 02:00
Astoria,Eskimo Project,19/04/2019 22:00,20/04/2019 02:00
Astoria,Eskimo Project,26/04/2019 22:00,27/04/2019 02:00
Astoria,Eskimo Project,03/05/2019 22:00,04/05/2019 02:00
Astoria,Eskimo Project,10/05/2019 22:00,11/05/2019 02:00
Astoria,Eskimo Project,17/05/2019 22:00,18/05/2019 02:00
Astoria,Eskimo Project,24/05/2019 22:00,25/05/2019 02:00
Astoria,Eskimo Project,31/05/2019 22:00,01/06/2019 02:00
Astoria,Eskimo Project,07/06/2019 22:00,08/06/2019 02:00
Astoria,Eskimo Project,14/06/2019 22:00,15/06/2019 02:00
Astoria,Eskimo Project,21/06/2019 22:00,22/06/2019 02:00
Astoria,Eskimo Project,28/06/2019 22:00,29/06/2019 02:00
Astoria,Eskimo Project,05/07/2019 22:00,06/07/2019 02:00
Astoria,Oh La La,28/09/2018 22:00,29/09/2018 02:00
Astoria,Oh La La,05/10/2018 22:00,06/10/2018 02:00
Astoria,Oh La La,12/10/2018 22:00,13/10/2018 02:00
Astoria,Oh La La,19/10/2018 22:00,20/10/2018 02:00
Astoria,Oh La La,26/10/2018 22:00,27/10/2018 02:00
Astoria,Oh La La,02/11/2018 22:00,03/11/2018 02:00
Astoria,Oh La La,09/11/2018 22:00,10/11/2018 02:00
Astoria,Oh La La,16/11/2018 22:00,17/11/2018 02:00
Astoria,Oh La La,23/11/2018 22:00,24/11/2018 02:00
Astoria,Oh La La,30/11/2018 22:00,01/12/2018 02:00
Astoria,Oh La La,07/12/2018 22:00,08/12/2018 02:00
Astoria,Oh La La,14/12/2018 22:00,15/12/2018 02:00
Astoria,Oh La La,21/12/2018 22:00,22/12/2018 02:00
Astoria,Oh La La,28/12/2018 22:00,29/12/2018 02:00
Astoria,Oh La La,04/01/2019 22:00,05/01/2019 02:00
Astoria,Oh La La,11/01/2019 22:00,12/01/2019 02:00
Astoria,Oh La La,18/01/2019 22:00,19/01/2019 02:00
Astoria,Oh La La,25/01/2019 22:00,26/01/2019 02:00
Astoria,Oh La La,01/02/2019 22:00,02/02/2019 02:00
Astoria,Oh La La,08/02/2019 22:00,09/02/2019 02:00
Astoria,Oh La La,15/02/2019 22:00,16/02/2019 02:00
Astoria,Oh La La,22/02/2019 22:00,23/02/2019 02:00
Astoria,Oh La La,01/03/2019 22:00,02/03/2019 02:00
Astoria,Oh La La,08/03/2019 22:00,09/03/2019 02:00
Astoria,Oh La La,15/03/2019 22:00,16/03/2019 02:00
Astoria,Oh La La,22/03/2019 22:00,23/03/2019 02:00
Astoria,Oh La La,29/03/2019 22:00,30/03/2019 02:00
Astoria,Oh La La,05/04/2019 22:00,06/04/2019 02:00
Astoria,Oh La La,12/04/2019 22:00,13/04/2019 02:00
Astoria,Oh La La,19/04/2019 22:00,20/04/2019 02:00
Astoria,Oh La La,26/04/2019 22:00,27/04/2019 02:00
Astoria,Oh La La,03/05/2019 22:00,04/05/2019 02:00
Astoria,Oh La La,10/05/2019 22:00,11/05/2019 02:00
Astoria,Oh La La,17/05/2019 22:00,18/05/2019 02:00
Astoria,Oh La La,24/05/2019 22:00,25/05/2019 02:00
Astoria,Oh La La,31/05/2019 22:00,01/06/2019 02:00
Astoria,Oh La La,07/06/2019 22:00,08/06/2019 02:00
Astoria,Oh La La,14/06/2019 22:00,15/06/2019 02:00
Astoria,Oh La La,21/06/2019 22:00,22/06/2019 02:00
Astoria,Oh La La,28/06/2019 22:00,29/06/2019 02:00
Astoria,Oh La La,05/07/2019 22:00,06/07/2019 02:00
Pryzm,The Pound Party,27/09/2018 22:00,28/09/2018 02:00
Pryzm,The Pound Party,04/10/2018 22:00,05/10/2018 02:00
Pryzm,The Pound Party,11/10/2018 22:00,12/10/2018 02:00
Pryzm,The Pound Party,18/10/2018 22:00,19/10/2018 02:00
Pryzm,The Pound Party,25/10/2018 22:00,26/10/2018 02:00
Pryzm,The Pound Party,01/11/2018 22:00,02/11/2018 02:00
Pryzm,The Pound Party,08/11/2018 22:00,09/11/2018 02:00
Pryzm,The Pound Party,15/11/2018 22:00,16/11/2018 02:00
Pryzm,The Pound Party,22/11/2018 22:00,23/11/2018 02:00
Pryzm,The Pound Party,29/11/2018 22:00,30/11/2018 02:00
Pryzm,The Pound Party,06/12/2018 22:00,07/12/2018 02:00
Pryzm,The Pound Party,13/12/2018 22:00,14/12/2018 02:00
Pryzm,The Pound Party,20/12/2018 22:00,21/12/2018 02:00
Pryzm,The Pound Party,27/12/2018 22:00,28/12/2018 02:00
Pryzm,The Pound Party,03/01/2019 22:00,04/01/2019 02:00
Pryzm,The Pound Party,10/01/2019 22:00,11/01/2019 02:00
Pryzm,The Pound Party,17/01/2019 22:00,18/01/2019 02:00
Pryzm,The Pound Party,24/01/2019 22:00,25/01/2019 02:00
Pryzm,The Pound Party,31/01/2019 22:00,01/02/2019 02:00
Pryzm,The Pound Party,07/02/2019 22:00,08/02/2019 02:00
Pryzm,The Pound Party,14/02/2019 22:00,15/02/2019 02:00
Pryzm,The Pound Party,21/02/2019 22:00,22/02/2019 02:00
Pryzm,The Pound Party,28/02/2019 22:00,01/03/2019 02:00
Pryzm,The Pound Party,07/03/2019 22:00,08/03/2019 02:00
Pryzm,The Pound Party,14/03/2019 22:00,15/03/2019 02:00
Pryzm,The Pound Party,21/03/2019 22:00,22/03/2019 02:00
Pryzm,The Pound Party,28/03/2019 22:00,29/03/2019 02:00
Pryzm,The Pound Party,04/04/2019 22:00,05/04/2019 02:00
Pryzm,The Pound Party,11/04/2019 22:00,12/04/2019 02:00
Pryzm,The Pound Party,18/04/2019 22:00,19/04/2019 02:00
Pryzm,The Pound Party,25/04/2019 22:00,26/04/2019 02:00
Pryzm,The Pound Party,02/05/2019 22:00,03/05/2019 02:00
Pryzm,The Pound Party,09/05/2019 22:00,10/05/2019 02:00
Pryzm,The Pound Party,16/05/2019 22:00,17/05/2019 02:00
Pryzm,The Pound Party,23/05/2019 22:00,24/05/2019 02:00
Pryzm,The Pound Party,30/05/2019 22:00,31/05/2019 02:00
Pryzm,The Pound Party,06/06/2019 22:00,07/06/2019 02:00
Pryzm,Glitterbaby,28/09/2018 22:00,29/09/2018 02:00
Pryzm,Glitterbaby,05/10/2018 22:00,06/10/2018 02:00
Pryzm,Glitterbaby,12/10/2018 22:00,13/10/2018 02:00
Pryzm,Glitterbaby,19/10/2018 22:00,20/10/2018 02:00
Pryzm,Glitterbaby,26/10/2018 22:00,27/10/2018 02:00
Pryzm,Glitterbaby,02/11/2018 22:00,03/11/2018 02:00
Pryzm,Glitterbaby,09/11/2018 22:00,10/11/2018 02:00
Pryzm,Glitterbaby,16/11/2018 22:00,17/11/2018 02:00
Pryzm,Glitterbaby,23/11/2018 22:00,24/11/2018 02:00
Pryzm,Glitterbaby,30/11/2018 22:00,01/12/2018 02:00
Pryzm,Glitterbaby,07/12/2018 22:00,08/12/2018 02:00
Pryzm,Glitterbaby,14/12/2018 22:00,15/12/2018 02:00
Pryzm,Glitterbaby,21/12/2018 22:00,22/12/2018 02:00
Pryzm,Glitterbaby,28/12/2018 22:00,29/12/2018 02:00
Pryzm,Glitterbaby,04/01/2019 22:00,05/01/2019 02:00
Pryzm,Glitterbaby,11/01/2019 22:00,12/01/2019 02:00
Pryzm,Glitterbaby,18/01/2019 22:00,19/01/2019 02:00
Pryzm,Glitterbaby,25/01/2019 22:00,26/01/2019 02:00
Pryzm,Glitterbaby,01/02/2019 22:00,02/02/2019 02:00
Pryzm,Glitterbaby,08/02/2019 22:00,09/02/2019 02:00
Pryzm,Glitterbaby,15/02/2019 22:00,16/02/2019 02:00
Pryzm,Glitterbaby,22/02/2019 22:00,23/02/2019 02:00
Pryzm,Glitterbaby,01/03/2019 22:00,02/03/2019 02:00
Pryzm,Glitterbaby,08/03/2019 22:00,09/03/2019 02:00
Pryzm,Glitterbaby,15/03/2019 22:00,16/03/2019 02:00
Pryzm,Glitterbaby,22/03/2019 22:00,23/03/2019 02:00
Pryzm,Glitterbaby,29/03/2019 22:00,30/03/2019 02:00
Pryzm,Glitterbaby,05/04/2019 22:00,06/04/2019 02:00
Pryzm,Glitterbaby,12/04/2019 22:00,13/04/2019 02:00
