attended,week_no,student_id,unit_id
0,1,UP901347,U21260
0,1,UP888808,U21260
0,1,UP883442,U21260
0,1,UP880083,U21260
0,1,UP893573,U21260
0,1,UP893324,U21260
0,1,UP901242,U21260
0,1,UP911829,U21260
0,1,UP919983,U21260
0,1,UP900993,U21260
0,1,UP885261,U21260
0,1,UP853008,U21260
0,1,UP888489,U21260
0,1,UP847948,U21260
0,1,UP669442,U21260
0,1,UP913045,U21260
0,1,UP911168,U21260
0,1,UP890112,U21260
0,1,UP894818,U21260
0,1,UP899526,U21260
0,1,UP898069,U21260
0,1,UP890197,U21260
0,1,UP908042,U21260
0,1,UP891973,U21260
0,1,UP904277,U21260
0,1,UP885800,U21260
0,1,UP896450,U21260
0,1,UP896605,U21260
0,1,UP885516,U21260
0,1,UP859864,U21260
0,1,UP891290,U21260
0,1,UP899536,U21260
0,1,UP897298,U21260
0,1,UP880942,U21260
0,1,UP894551,U21260
0,1,UP902133,U21260
0,1,UP893057,U21260
0,1,UP893327,U21260
0,1,UP897828,U21260
0,1,UP845706,U21260
0,1,UP860785,U21260
0,1,UP885355,U21260
0,1,UP887397,U21260
0,1,UP906651,U21260
0,25,UP896900,U21259
0,25,UP896919,U21259
0,25,UP896958,U21259
0,25,UP897167,U21259
0,25,UP897561,U21259
0,25,UP897812,U21259
0,25,UP897821,U21259
0,25,UP897828,U21259
0,25,UP897830,U21259
0,25,UP897905,U21259
0,25,UP898069,U21259
0,25,UP898126,U21259
0,25,UP898356,U21259
0,25,UP898548,U21259
0,25,UP898707,U21259
0,25,UP898782,U21259
0,25,UP898793,U21259
0,25,UP898807,U21259
0,25,UP898862,U21259
0,25,UP898888,U21259
0,25,UP899044,U21259
0,25,UP899161,U21259
0,25,UP899210,U21259
0,25,UP899244,U21259
0,25,UP899251,U21259
0,25,UP899413,U21259
0,25,UP899526,U21259
0,25,UP899549,U21259
0,25,UP899590,U21259
0,25,UP899670,U21259
0,25,UP899802,U21259
0,25,UP899908,U21259
0,25,UP899924,U21259
0,25,UP899929,U21259
0,25,UP899999,U21259
0,25,UP900217,U21259
0,25,UP900263,U21259
0,25,UP900264,U21259
0,25,UP900306,U21259
0,25,UP900337,U21259
0,25,UP900360,U21259
0,25,UP900418,U21259
0,25,UP900419,U21259
0,25,UP900420,U21259
0,25,UP900424,U21259
0,25,UP900426,U21259
0,25,UP900479,U21259
0,25,UP900750,U21259
0,25,UP900822,U21259
0,25,UP900921,U21259
0,25,UP900939,U21259
0,25,UP900947,U21259
0,25,UP900993,U21259
0,25,UP901100,U21259
0,25,UP901126,U21259
0,25,UP901155,U21259
0,25,UP901212,U21259
0,25,UP901242,U21259
0,25,UP901253,U21259
0,25,UP901333,U21259
0,25,UP901347,U21259
0,25,UP901354,U21259
0,25,UP901378,U21259
0,25,UP901407,U21259
0,25,UP901476,U21259
0,25,UP901597,U21259
0,25,UP901838,U21259
0,25,UP902046,U21259
0,25,UP902059,U21259
0,25,UP902165,U21259
0,25,UP902229,U21259
0,25,UP902236,U21259
0,25,UP902282,U21259
0,25,UP902377,U21259
0,25,UP902949,U21259
0,25,UP903024,U21259
0,25,UP903466,U21259
0,25,UP903492,U21259
0,25,UP903749,U21259
0,25,UP903809,U21259
0,25,UP903868,U21259
0,25,UP903981,U21259
0,25,UP904007,U21259
0,25,UP904082,U21259
0,25,UP904088,U21259
0,25,UP904234,U21259
0,25,UP904254,U21259
0,25,UP904274,U21259
0,25,UP904277,U21259
0,25,UP904528,U21259
0,25,UP904731,U21259
0,25,UP904749,U21259
0,25,UP904825,U21259
0,25,UP904935,U21259
0,25,UP904949,U21259
0,25,UP904956,U21259
0,25,UP904965,U21259
0,25,UP905008,U21259
0,25,UP905189,U21259
0,25,UP905276,U21259
0,25,UP905352,U21259
0,25,UP905446,U21259
0,25,UP905851,U21259
0,25,UP905966,U21259
0,25,UP905968,U21259
0,25,UP905969,U21259
0,25,UP905970,U21259
0,25,UP906558,U21259
0,25,UP907723,U21259
0,25,UP908042,U21259
0,25,UP908383,U21259
0,25,UP908456,U21259
0,25,UP909132,U21259
0,25,UP909201,U21259
0,25,UP909528,U21259
0,25,UP911168,U21259
0,25,UP911248,U21259
0,25,UP911946,U21259
0,25,UP912255,U21259
0,25,UP912289,U21259
0,25,UP913045,U21259
0,25,UP914354,U21259
