lecture_weeks - Split 1,lecture_weeks - Split 2,lecture_weeks - Split 3,lecture_weeks - Split 4,lecture_weeks - Split 5,lecture_weeks - Split 6,lecture_weeks - Split 7,lecture_weeks - Split 8,lecture_weeks - Split 9,lecture_weeks - Split 10,lecture_id,unit_code,lecture_start_time,lecture_day,unit_name,lecture_end_time,module_type,lecture_weeks
2,3,4,5,6,8,9,10,11,12,13067,P25810,30/12/1899 10:00:00,Wed,ENTERPRISE AND ISP NETWORK SOLUTIONS,30/12/1899 11:00:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
3,4,5,6,8,9,10,11,12,13,13068,P25810,30/12/1899 13:00:00,Mon,ENTERPRISE AND ISP NETWORK SOLUTIONS,30/12/1899 14:00:00,Comp,"3,4,5,6,8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,,13069,P25810,30/12/1899 13:00:00,Mon,ENTERPRISE AND ISP NETWORK SOLUTIONS,30/12/1899 14:00:00,Comp,"14,15,16,17,18,19,21,22,23"
14,15,16,17,18,19,21,22,24,,13070,P25810,30/12/1899 10:00:00,Wed,ENTERPRISE AND ISP NETWORK SOLUTIONS,30/12/1899 11:00:00,Lect,"14,15,16,17,18,19,21,22,24"
25,26,,,,,,,,,13071,P25810,30/12/1899 10:00:00,Wed,ENTERPRISE AND ISP NETWORK SOLUTIONS,30/12/1899 11:00:00,Tut,"25,26"
2,3,4,5,6,8,9,10,,,13072,U21289,30/12/1899 13:00:00,Tue,ENTERPRISE WEB ARCHITECTURES,30/12/1899 15:00:00,Lect,"2,3,4,5,6,8,9,10"
11,12,13,,,,,,,,13073,U21289,30/12/1899 13:00:00,Tue,ENTERPRISE WEB ARCHITECTURES,30/12/1899 14:00:00,Lect,"11,12,13"
11,12,13,,,,,,,,13074,U21289,30/12/1899 14:00:00,Tue,ENTERPRISE WEB ARCHITECTURES,30/12/1899 15:00:00,Pract,"11,12,13"
14,15,16,17,18,19,,,,,13075,U21289,30/12/1899 13:00:00,Tue,ENTERPRISE WEB ARCHITECTURES,30/12/1899 14:00:00,Lect,"14,15,16,17,18,19"
14,15,16,17,18,20,,,,,13076,U21289,30/12/1899 14:00:00,Tue,ENTERPRISE WEB ARCHITECTURES,30/12/1899 15:00:00,Pract,"14,15,16,17,18,20"
21,22,23,25,26,,,,,,13077,U21289,30/12/1899 13:00:00,Tue,ENTERPRISE WEB ARCHITECTURES,30/12/1899 15:00:00,Pract,"21,22,23,25,26"
2,3,4,5,6,8,9,10,11,12,13078,U22357,30/12/1899 16:00:00,Thu,FINAL YEAR MAJOR PROJECT,30/12/1899 17:00:00,DL,"2,3,4,5,6,8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,24,13079,U22357,30/12/1899 16:00:00,Thu,FINAL YEAR MAJOR PROJECT,30/12/1899 17:00:00,DL,"14,15,16,17,18,19,21,22,23,24,25,26"
4,5,,,,,,,,,13080,U22508,30/12/1899 09:00:00,Fri,FINAL YEAR STUDY PROJECT,30/12/1899 10:00:00,Lect,"4,5"
2,3,4,5,6,8,9,10,11,12,13081,U23509,30/12/1899 14:00:00,Fri,FORENSICS FUNDAMENTALS,30/12/1899 17:00:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
14,25,,,,,,,,,13082,U23510,30/12/1899 09:00:00,Wed,FORENSICS INVESTIGATIONS,30/12/1899 10:00:00,Lect,"14,25"
14,15,16,17,18,19,21,22,23,24,13083,U23510,30/12/1899 16:00:00,Mon,FORENSICS INVESTIGATIONS,30/12/1899 18:00:00,Pract,"14,15,16,17,18,19,21,22,23,24,25,26"
15,16,17,18,19,21,22,23,26,,13084,U23510,30/12/1899 15:00:00,Mon,FORENSICS INVESTIGATIONS,30/12/1899 16:00:00,Lect,"15,16,17,18,19,21,22,23,26"
2,3,4,5,6,8,9,10,11,12,13085,P21386,30/12/1899 11:00:00,Tue,FUNDAMENTALS OF COMPUTER SYSTEMS,30/12/1899 13:00:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
9,10,11,,,,,,,,13086,P21386,30/12/1899 15:00:00,Thu,FUNDAMENTALS OF COMPUTER SYSTEMS,30/12/1899 17:00:00,PBL,"9,10,11"
13,14,,,,,,,,,13087,P21386,30/12/1899 11:00:00,Tue,FUNDAMENTALS OF COMPUTER SYSTEMS,30/12/1899 13:00:00,Lect,"13,14"
14,15,16,17,18,19,21,22,23,,13088,P21386,30/12/1899 09:00:00,Mon,FUNDAMENTALS OF COMPUTER SYSTEMS,30/12/1899 11:00:00,PBL,"14,15,16,17,18,19,21,22,23"
14,15,16,17,18,19,21,22,23,,13089,P21386,30/12/1899 11:00:00,Tue,FUNDAMENTALS OF COMPUTER SYSTEMS,30/12/1899 13:00:00,Lect,"14,15,16,17,18,19,21,22,23"
25,,,,,,,,,,13090,P21386,30/12/1899 11:00:00,Tue,FUNDAMENTALS OF COMPUTER SYSTEMS,30/12/1899 13:00:00,Lect,25
25,,,,,,,,,,13091,P21386,30/12/1899 11:00:00,Fri,FUNDAMENTALS OF COMPUTER SYSTEMS,30/12/1899 13:00:00,Tut,25
2,3,4,5,6,8,9,10,11,,13092,U21284,30/12/1899 15:00:00,Mon,FUZZY LOGIC - THEORY AND APPLICATIONS,30/12/1899 17:00:00,Lect,"2,3,4,5,6,8,9,10,11"
12,13,,,,,,,,,13093,U21284,30/12/1899 15:00:00,Mon,FUZZY LOGIC - THEORY AND APPLICATIONS,30/12/1899 17:00:00,Pract,"12,13"
14,15,16,17,18,19,,,,,13094,U21284,30/12/1899 15:00:00,Mon,FUZZY LOGIC - THEORY AND APPLICATIONS,30/12/1899 17:00:00,Lect,"14,15,16,17,18,19"
21,22,23,25,26,,,,,,13095,U21284,30/12/1899 15:00:00,Mon,FUZZY LOGIC - THEORY AND APPLICATIONS,30/12/1899 17:00:00,Pract,"21,22,23,25,26"
2,4,6,9,11,13,,,,,13096,U21272,30/12/1899 15:00:00,Mon,GETTING USABILITY INTO DEVELOPMENT ENVIRONMENTS,30/12/1899 17:00:00,Lect,"2,4,6,9,11,13"
