Postcodes,Latitude,Longitude
PO1 3GN,50.801505,-1.103553
PO1 3GP,50.801346,-1.103854
PO1 3GR,50.800954,-1.104401
PO1 3GS,50.80072,-1.10442
PO1 3GT,50.800495,-1.104396
PO1 3GU,50.800253,-1.104457
PO1 3GW,50.800018,-1.10432
PO1 3HA,50.797784,-1.104944
PO1 3HB,50.797685,-1.103825
PO1 3HD,50.797634,-1.104166
PO1 3HG,50.800386,-1.093712
PO1 3HH,50.801564,-1.097408
PO1 3HL,50.799665,-1.098438
PO1 3HN,50.799637,-1.100297
PO1 3HR,50.799553,-1.103491
PO1 3HS,50.799273,-1.104433
PO1 3HT,50.799975,-1.102234
PO1 3HU,50.799491,-1.104755
PO1 3HW,50.799598,-1.102298
PO1 3HX,50.799505,-1.10545
PO1 3HY,50.799962,-1.102831
PO1 3HZ,50.800189,-1.100868
PO1 3JA,50.800189,-1.100868
PO1 3JB,50.800156,-1.100074
PO1 3JE,50.801241,-1.100834
PO1 3JF,50.801336,-1.101485
PO1 3JH,50.800794,-1.101069
PO1 3JJ,50.801233,-1.102139
PO1 3JL,50.801469,-1.102305
PO1 3JN,50.801774,-1.101051
PO1 3JP,50.800009,-1.102121
PO1 3JS,50.802257,-1.101964
PO1 3JT,50.802171,-1.102462
PO1 3JU,50.801795,-1.100369
PO1 3JW,50.801485,-1.100943
PO1 3JX,50.801451,-1.099992
PO1 3JY,50.80119,-1.10004
PO1 3JZ,50.800789,-1.100431
PO1 3LB,50.801034,-1.099631
PO1 3LG,50.799682,-1.099203
PO1 3LR,50.799954,-1.106748
PO1 3NA,50.80188,-1.104383
PO1 3NB,50.80308,-1.105992
PO1 3PB,50.799381,-1.101011
PO1 3PJ,50.797607,-1.102989
PO1 3PL,50.797736,-1.10337
PO1 3PP,50.797774,-1.10134
PO1 3QD,50.798796,-1.106713
PO1 3RA,50.797926,-1.100074
PO1 3RD,50.796704,-1.101346
PO1 3RE,50.797197,-1.101096
PO1 3RF,50.79757,-1.100549
PO1 3RG,50.796719,-1.102183
PO1 3RH,50.797838,-1.100275
PO1 3RJ,50.79801,-1.100484
PO1 3RP,50.796468,-1.101067
PO1 3RQ,50.79633,-1.101836
PO1 3SF,50.795895,-1.103703
PO1 3SG,50.795895,-1.103703
PO1 3SH,50.795895,-1.103703
PO1 3SY,50.79505,-1.103719
PO1 3SZ,50.79505,-1.103719
PO1 3TB,50.794411,-1.104867
PO1 3TD,50.793817,-1.104878
PO1 3TE,50.793543,-1.105622
PO1 3TF,50.793308,-1.105228
PO1 3TG,50.793432,-1.106162
PO1 3TH,50.794073,-1.107711
PO1 3TJ,50.794328,-1.106968
PO1 3TQ,50.793349,-1.107171
PO1 3TS,50.794017,-1.105343
PO1 3TY,50.795133,-1.106357
PO1 4AE,50.804594,-1.077623
PO1 4AF,50.804592,-1.077353
PO1 4AG,50.804438,-1.077143
PO1 4AJ,50.802279,-1.088581
PO1 4AL,50.803866,-1.086748
PO1 4AP,50.807503,-1.083881
PO1 4AX,50.803655,-1.088796
PO1 4AY,50.803844,-1.089714
PO1 4BJ,50.802723,-1.088034
PO1 4BP,50.803862,-1.087628
PO1 4BT,50.804737,-1.086632
PO1 4DA,50.803615,-1.086881
PO1 4DB,50.803493,-1.086287
PO1 4DD,50.803316,-1.085496
PO1 4DE,50.803526,-1.084697
PO1 4DF,50.803921,-1.084604
PO1 4DG,50.802229,-1.086681
PO1 4DH,50.801167,-1.085424
PO1 4DJ,50.80129,-1.085053
PO1 4DL,50.801151,-1.084644
PO1 4DN,50.8015,-1.08546
PO1 4DP,50.801571,-1.084238
PO1 4DW,50.801538,-1.084679
PO1 4DX,50.801908,-1.084757
PO1 4DY,50.804654,-1.081766
PO1 4DZ,50.804003,-1.085936
PO1 4EB,50.804653,-1.085101
PO1 4ED,50.804209,-1.084627
PO1 4EE,50.802604,-1.084091
PO1 4EF,50.802207,-1.083914
PO1 4EG,50.804304,-1.085278
PO1 4EH,50.804351,-1.084354
PO1 4EJ,50.804578,-1.085826
PO1 4EL,50.8056,-1.085465
PO1 4EN,50.8056,-1.085465
PO1 4EP,50.805179,-1.084494
PO1 4ER,50.805179,-1.084494
PO1 4ES,50.805179,-1.084494
PO1 4EW,50.8056,-1.085465
PO1 4EZ,50.802388,-1.087501
PO1 4HA,50.802672,-1.086105
PO1 4HB,50.802705,-1.085536
PO1 4HD,50.802845,-1.084966
PO1 4HE,50.802921,-1.084425
PO1 4HF,50.803313,-1.083878
PO1 4HG,50.804132,-1.081662
PO1 4HH,50.804188,-1.081988
PO1 4HL,50.804203,-1.081803
PO1 4HN,50.802808,-1.083789
PO1 4HP,50.803018,-1.08299
PO1 4HR,50.803171,-1.082121
PO1 4HS,50.803567,-1.080779
PO1 4HT,50.803408,-1.081123
PO1 4HX,50.804263,-1.081277
PO1 4HY,50.803396,-1.08189
PO1 4HZ,50.803398,-1.079832
PO1 4JA,50.803753,-1.080393
PO1 4JB,50.804658,-1.079992
PO1 4JD,50.803984,-1.080076
PO1 4JE,50.804347,-1.079288
PO1 4JG,50.80406,-1.079365
PO1 4JJ,50.805857,-1.078081
PO1 4JL,50.805951,-1.077497
PO1 4JP,50.803806,-1.078007
PO1 4JQ,50.803584,-1.079516
PO1 4JR,50.803626,-1.079104
PO1 4JX,50.804418,-1.07808
PO1 4LB,50.806993,-1.084203
PO1 4LD,50.806913,-1.082005
PO1 4LG,50.806946,-1.086191
PO1 4LH,50.806866,-1.078302
PO1 4LJ,50.805825,-1.078592
PO1 4LL,50.806814,-1.078573
PO1 4LN,50.806105,-1.078757
PO1 4LP,50.805888,-1.08089
PO1 4LQ,50.807152,-1.08613
PO1 4LR,50.806902,-1.080643
PO1 4LS,50.806689,-1.079796
PO1 4LT,50.80679,-1.081213
PO1 4LU,50.805684,-1.080042
PO1 4LW,50.805551,-1.079151
PO1 4LX,50.805249,-1.080831
PO1 4LY,50.805306,-1.081228
PO1 4LZ,50.805291,-1.081611
PO1 4NB,50.806454,-1.085378
PO1 4NE,50.806001,-1.084961
PO1 4NF,50.806261,-1.08392
PO1 4NG,50.80675,-1.084322
PO1 4NH,50.807265,-1.084681
PO1 4NJ,50.807291,-1.084269
PO1 4NL,50.807578,-1.085398
PO1 4NN,50.807565,-1.08503
PO1 4NP,50.806809,-1.084831
PO1 4NQ,50.806889,-1.083766
PO1 4NR,50.806724,-1.085401
